Label,Notation,Parent Notation,Sort Priority,Description
Acorn,acorn,,0,
Activities done online,activities-done-online,,1,
Activity done whilst visiting the library in the last 12 months,activity-done-whilst-visiting-the-library-in-the-last-12-months,,2,
Age,age,,3,
Agree with this statement,agree-with-this-statement,,4,
Attended an arts event in the last 12 months,attended-an-arts-event-in-the-last-12-months,,5,
Aware of Birmingham Commonwealth Games 2022,aware-of-birmingham-commonwealth-games-2022,,6,
Aware of Coventry City of Culture,aware-of-coventry-city-of-culture,,7,
Aware of Her Majesty the Queen's Platinum Jubilee,aware-of-her-majesty-the-queen-s-platinum-jubilee,,8,
Aware of UNBOXED: Creativity in the UK,aware-of-unboxed-creativity-in-the-uk,,9,
Barriers to engaging with heritage services online,barriers-to-engaging-with-heritage-services-online,,10,
Barriers to engaging with library services online,barriers-to-engaging-with-library-services-online,,11,
Barriers to engaging with the arts in the last 12 months,barriers-to-engaging-with-the-arts-in-the-last-12-months,,12,
Barriers to engaging with the arts online,barriers-to-engaging-with-the-arts-online,,13,
Barriers to visiting the heritage site,barriers-to-visiting-the-heritage-site,,14,
Barriers to visiting the library in the last 12 months,barriers-to-visiting-the-library-in-the-last-12-months,,15,
Barriers to visiting the museum or gallery,barriers-to-visiting-the-museum-or-gallery,,16,
Be interested in doing any digital skills or online training,be-interested-in-doing-any-digital-skills-or-online-training,,17,
Children living in your household,children-living-in-your-household,,18,
Completed one of these tasks in the last 12 months,completed-one-of-these-tasks-in-the-last-12-months,,19,
Current internet or broadband speed at home,current-internet-or-broadband-speed-at-home,,20,
Decided to visit this place for this reason,decided-to-visit-this-place-for-this-reason,,21,
Devices personally owned and used at home,devices-personally-owned-and-used-at-home,,22,
Devices personally owned and used for business purposes,devices-personally-owned-and-used-for-business-purposes,,23,
Employment status,employment-status,,24,
Engaged with art activities online in the last 12 months,engaged-with-art-activities-online-in-the-last-12-months,,25,
Engaged with art sector online at least once,engaged-with-art-sector-online-at-least-once,,26,
Engaged with heritage physically and digitally,engaged-with-heritage-physically-and-digitally,,27,
Engaged with heritage physically or digitally,engaged-with-heritage-physically-or-digitally,,28,
Engaged with library services physically and digitally in the last 12 months,engaged-with-library-services-physically-and-digitally-in-the-last-12-months,,29,
Engaged with library services physically or digitally in the last 12 months,engaged-with-library-services-physically-or-digitally-in-the-last-12-months,,30,
Engaged with museum or gallery physically and digitally,engaged-with-museum-or-gallery-physically-and-digitally,,31,
Engaged with museum or gallery physically or digitally,engaged-with-museum-or-gallery-physically-or-digitally,,32,
Engaged with the arts in person in the last 12 months,engaged-with-the-arts-in-person-in-the-last-12-months,,33,
Engaged with the arts online in the last 12 months,engaged-with-the-arts-online-in-the-last-12-months,,34,
Engaged with the arts physically and digitally in the last 12 months,engaged-with-the-arts-physically-and-digitally-in-the-last-12-months,,35,
Engaged with the arts physically or digitally in the last 12 months,engaged-with-the-arts-physically-or-digitally-in-the-last-12-months,,36,
Ethnicity - Asian/Asian British,ethnicity-asian/asian-british,,37,
Ethnicity - Black/African/Caribbean/Black British,ethnicity-black/african/caribbean/black-british,,38,
Ethnicity - Mixed/Multiple ethnic groups,ethnicity-mixed/multiple-ethnic-groups,,39,
Ethnicity - Other ethnic group,ethnicity-other-ethnic-group,,40,
Ethnicity - White,ethnicity-white,,41,
Ever watch live sports on TV,ever-watch-live-sports-on-tv,,42,
Experience of accessing services when using digital methods of identification,experience-of-accessing-services-when-using-digital-methods-of-identification,,43,
Frequency of internet use,frequency-of-internet-use,,44,
Gender,gender,,45,
Have you ever,have-you-ever,,46,
Highest qualification,highest-qualification,,47,
Home Wi-Fi router or internet hub provided by ISP,home-wi-fi-router-or-internet-hub-provided-by-isp,,48,
Household currently pays for internet or broadband at home per month,household-currently-pays-for-internet-or-broadband-at-home-per-month,,49,
How accessed the public library services online,how-accessed-the-public-library-services-online,,50,
How adults pay for content when engaging with activities online in the last 12 months (activities in rows 15-22),how-adults-pay-for-content-when-engaging-with-activities-online-in-the-last-12-months-activities-in-rows-15-22,,51,
How adults pay for content when engaging with art activities online in the last 12 months (activities in rows 14-23),how-adults-pay-for-content-when-engaging-with-art-activities-online-in-the-last-12-months-activities-in-rows-14-23,,52,
How adults pay for content when watching events online in the last 12 months (events in rows 37-40),how-adults-pay-for-content-when-watching-events-online-in-the-last-12-months-events-in-rows-37-40,,53,
How comfortable you are with Private companies using data to develop technology to help people do things more efficiently,how-comfortable-you-are-with-private-companies-using-data-to-develop-technology-to-help-people-do-things-more-efficiently,,54,
How comfortable you are with Private companies using data to grow the economy and create jobs,how-comfortable-you-are-with-private-companies-using-data-to-grow-the-economy-and-create-jobs,,55,
How comfortable you are with charities using data to help vulnerable people in society,how-comfortable-you-are-with-charities-using-data-to-help-vulnerable-people-in-society,,56,
"How comfortable you are with data being used by private companies to design services which help people connect with others, for example, to develop social media platforms",how-comfortable-you-are-with-data-being-used-by-private-companies-to-design-services-which-help-people-connect-with-others-for-example-to-develop-social-media-platforms,,57,
How comfortable you are with data being used by private companies to improve their services and products,how-comfortable-you-are-with-data-being-used-by-private-companies-to-improve-their-services-and-products,,58,
"How comfortable you are with data being used to develop services that help people save money, such as price comparison websites",how-comfortable-you-are-with-data-being-used-to-develop-services-that-help-people-save-money-such-as-price-comparison-websites,,59,
"How comfortable you are with researchers and scientists using data to increase our understanding and knowledge of the world, people, culture and society",how-comfortable-you-are-with-researchers-and-scientists-using-data-to-increase-our-understanding-and-knowledge-of-the-world-people-culture-and-society,,60,
How comfortable you are with the UK Government using data to make public policies which help keep people safe,how-comfortable-you-are-with-the-uk-government-using-data-to-make-public-policies-which-help-keep-people-safe,,61,
How comfortable you are with the UK Government using data to understand and better serve society through improved public services,how-comfortable-you-are-with-the-uk-government-using-data-to-understand-and-better-serve-society-through-improved-public-services,,62,
