Label,Notation,Parent Notation,Sort Priority
Affluent achievers,affluent-achievers,,0
Rising prosperity,rising-prosperity,,1
Comfortable communities,comfortable-communities,,2
Financially stretched,financially-stretched,,3
Urban adversity,urban-adversity,,4
Not private households,not-private-households,,5
Yes but only if i didn t have to pay for it,yes-but-only-if-i-didn-t-have-to-pay-for-it,,6
Yes and i would be willing to pay for it,yes-and-i-would-be-willing-to-pay-for-it,,7
No i prefer to upskill myself,no-i-prefer-to-upskill-myself,,8
No not at all,no-not-at-all,,9
Very important,very-important,,10
Fairly important,fairly-important,,11
Not very important,not-very-important,,12
Not at all important,not-at-all-important,,13
Communicate with others by e mail or other messaging apps such as whatsapp,communicate-with-others-by-e-mail-or-other-messaging-apps-such-as-whatsapp,,14
Communicate with others using video tools such as facetime teams skype,communicate-with-others-using-video-tools-such-as-facetime-teams-skype,,15
Post content such as messages photographs or videos on social media such as facebook instagram snapchat,post-content-such-as-messages-photographs-or-videos-on-social-media-such-as-facebook-instagram-snapchat,,16
Recognise what information or content may or may not be trustworthy on websites or apps,recognise-what-information-or-content-may-or-may-not-be-trustworthy-on-websites-or-apps,,17
Use search engines to find the information i m looking for such as searching for news using a browser such as chrome internet explorer or safari,use-search-engines-to-find-the-information-i-m-looking-for-such-as-searching-for-news-using-a-browser-such-as-chrome-internet-explorer-or-safari,,18
Store information online and access content from a different device such as using the cloud,store-information-online-and-access-content-from-a-different-device-such-as-using-the-cloud,,19
Access and use public services online including filling in forms such as vehicle tax voting registration medical visits or prescriptions,access-and-use-public-services-online-including-filling-in-forms-such-as-vehicle-tax-voting-registration-medical-visits-or-prescriptions,,20
Use online banking and online transactions,use-online-banking-and-online-transactions,,21
Use online tutorials web chat faqs and forums to improve my skills in using the internet and digital apps or products or services,use-online-tutorials-web-chat-faqs-and-forums-to-improve-my-skills-in-using-the-internet-and-digital-apps-or-products-or-services,,22
Total,total,,23
At least once a week,at-least-once-a-week,,24
Less often than once a week but at least once a month,less-often-than-once-a-week-but-at-least-once-a-month,,25
Less often than once a month but at least 3 or 4 times a year,less-often-than-once-a-month-but-at-least-3-or-4-times-a-year,,26
Twice in the last 12 months,twice-in-the-last-12-months,,27
Once in the last 12 months,once-in-the-last-12-months,,28
Taken a virtual tour of a museum or gallery in england,taken-a-virtual-tour-of-a-museum-or-gallery-in-england,,29
Taken a virtual walking tour of a historic town or city heritage site castle or monument in england not including drone flights,taken-a-virtual-walking-tour-of-a-historic-town-or-city-heritage-site-castle-or-monument-in-england-not-including-drone-flights,,30
Researched your local history online,researched-your-local-history-online,,31
Researched items from a museum or gallery collection in england online,researched-items-from-a-museum-or-gallery-collection-in-england-online,,32
Viewed documents from an archive in england online,viewed-documents-from-an-archive-in-england-online,,33
Engaged with text image audio video or animation games or podcast content from heritage sites in england,engaged-with-text-image-audio-video-or-animation-games-or-podcast-content-from-heritage-sites-in-england,,34
Engaged with text image audio video or animation games or podcast content from museums in england,engaged-with-text-image-audio-video-or-animation-games-or-podcast-content-from-museums-in-england,,35
None of these,none-of-these,,36
Pay a one time fee,pay-a-one-time-fee,,37
Pay a monthly or annual subscription,pay-a-monthly-or-annual-subscription,,38
Content is paid for through tv license fee all live tv and bbc iplayer,content-is-paid-for-through-tv-license-fee-all-live-tv-and-bbc-iplayer,,39
Access free content,access-free-content,,40
Access content using a log in belonging to someone not in my household,access-content-using-a-log-in-belonging-to-someone-not-in-my-household,,41
Access paid content for free using other methods,access-paid-content-for-free-using-other-methods,,42
They are too expensive,they-are-too-expensive,,43
I m not interested,i-m-not-interested,,44
I don t have time,i-don-t-have-time,,45
I have a health problem or disability,i-have-a-health-problem-or-disability,,46
I don t have access to the internet,i-don-t-have-access-to-the-internet,,47
I don t have access to an online device such as a smartphone laptop or tablet,i-don-t-have-access-to-an-online-device-such-as-a-smartphone-laptop-or-tablet,,48
I don t know how to access these types of events online,i-don-t-know-how-to-access-these-types-of-events-online,,49
I don t know what is available,i-don-t-know-what-is-available,,50
Some other reason,some-other-reason,,51
No reason in particular,no-reason-in-particular,,52
A city or town with celebrated historic nature,a-city-or-town-with-celebrated-historic-nature,,53
A historic building open to the public non religious,a-historic-building-open-to-the-public-non-religious,,54
A historic place of worship attended as a visitor not to worship,a-historic-place-of-worship-attended-as-a-visitor-not-to-worship,,55
A park or garden open to the public with historic or artistic features,a-park-or-garden-open-to-the-public-with-historic-or-artistic-features,,56
A place connected with industrial history such as an old factory mine or railway,a-place-connected-with-industrial-history-such-as-an-old-factory-mine-or-railway,,57
An ancient monument or archaeological site such as a castle fort burial site,an-ancient-monument-or-archaeological-site-such-as-a-castle-fort-burial-site,,58
A site connected with sports heritage not visited for the purposes of watching sport such as wimbledon or wembley stadium,a-site-connected-with-sports-heritage-not-visited-for-the-purposes-of-watching-sport-such-as-wimbledon-or-wembley-stadium,,59
A site connected with maritime or underwater heritage such as shipwrecks,a-site-connected-with-maritime-or-underwater-heritage-such-as-shipwrecks,,60
A historic landscape or habitat such as coastline countryside,a-historic-landscape-or-habitat-such-as-coastline-countryside,,61
Some other heritage site or historic place please type in,some-other-heritage-site-or-historic-place-please-type-in,,62
General interest in the subject,general-interest-in-the-subject,,63
To spend time with family or friends,to-spend-time-with-family-or-friends,,64
To see a specific exhibition or display,to-see-a-specific-exhibition-or-display,,65
It was in the area,it-was-in-the-area,,66
Accompanying children,accompanying-children,,67
It was low cost or free,it-was-low-cost-or-free,,68
It was recommended for example by a friend website or guidebook,it-was-recommended-for-example-by-a-friend-website-or-guidebook,,69
For an event activity or workshop,for-an-event-activity-or-workshop,,70
As part of an organised group or tour,as-part-of-an-organised-group-or-tour,,71
There were amenities or free facilities such as toilets communal space restaurants cafes shops,there-were-amenities-or-free-facilities-such-as-toilets-communal-space-restaurants-cafes-shops,,72
You were told by a healthcare professional gp or carer that it may help your health or result in improved outcomes,you-were-told-by-a-healthcare-professional-gp-or-carer-that-it-may-help-your-health-or-result-in-improved-outcomes,,73
Some other reason type in,some-other-reason-type-in,,74
No particular reason,no-particular-reason,,75
Yes,yes,,76
No,no,,77
Less than 30 minutes,less-than-30-minutes,,78
At least 30 minutes but less than an hour,at-least-30-minutes-but-less-than-an-hour,,79
At least an hour but less than 2 hours,at-least-an-hour-but-less-than-2-hours,,80
At least 2 hours but less than 4 hours,at-least-2-hours-but-less-than-4-hours,,81
4 hours or more,4-hours-or-more,,82
Unesco site,unesco-site,,83
National trust,national-trust,,84
English heritage,english-heritage,,85
Some other heritage site,some-other-heritage-site,,86
I have not visited any of these heritage sites in the last 12 months,i-have-not-visited-any-of-these-heritage-sites-in-the-last-12-months,,87
They are difficult to get to,they-are-difficult-to-get-to,,88
I would feel out of place,i-would-feel-out-of-place,,89
I don t have anyone to go with,i-don-t-have-anyone-to-go-with,,90
The opening hours are inconvenient,the-opening-hours-are-inconvenient,,91
Due to covid 19 restrictions or concerns,due-to-covid-19-restrictions-or-concerns,,92
As an individual or part of a social group,as-an-individual-or-part-of-a-social-group,,93
Part of a metal detecting club,part-of-a-metal-detecting-club,,94
As part of an organised archaeological survey in a volunteer role,as-part-of-an-organised-archaeological-survey-in-a-volunteer-role,,95
As a participant in a commercial rally,as-a-participant-in-a-commercial-rally,,96
In some other way,in-some-other-way,,97
Reserved or renewed books or paid a fine,reserved-or-renewed-books-or-paid-a-fine,,98
Searched online catalogues or dictionaries or made an enquiry,searched-online-catalogues-or-dictionaries-or-made-an-enquiry,,99
Borrowed digital or online resources such as e books e audio or e magazines but without visiting the library,borrowed-digital-or-online-resources-such-as-e-books-e-audio-or-e-magazines-but-without-visiting-the-library,,100
Viewed or participated in an online event or activity organised by the library,viewed-or-participated-in-an-online-event-or-activity-organised-by-the-library,,101
Checked information online about the library such as opening hours available facilities or services offered,checked-information-online-about-the-library-such-as-opening-hours-available-facilities-or-services-offered,,102
Accessed online services via library membership such as journals or family history sites,accessed-online-services-via-library-membership-such-as-journals-or-family-history-sites,,103
Accessed some other library service online type in open,accessed-some-other-library-service-online-type-in-open,,104
Very satisfied,very-satisfied,,105
Somewhat satisfied,somewhat-satisfied,,106
Neither satisfied nor dissatisfied,neither-satisfied-nor-dissatisfied,,107
Somewhat dissatisfied,somewhat-dissatisfied,,108
Very dissatisfied,very-dissatisfied,,109
Through a library website,through-a-library-website,,110
Using a library app,using-a-library-app,,111
Through social media,through-social-media,,112
Through youtube,through-youtube,,113
By telephone,by-telephone,,114
I don t know how to access these types of event online,i-don-t-know-how-to-access-these-types-of-event-online,,115
Help to apply for a government or council service,help-to-apply-for-a-government-or-council-service,,116
Training or help to improve your digital or online skills,training-or-help-to-improve-your-digital-or-online-skills,,117
Help to apply for a job or setting up or growing your business,help-to-apply-for-a-job-or-setting-up-or-growing-your-business,,118
Some other form of help or training type in open,some-other-form-of-help-or-training-type-in-open,,119
Borrowed browsed or returned books newspapers music cds dvds or audiobooks,borrowed-browsed-or-returned-books-newspapers-music-cds-dvds-or-audiobooks,,120
Accessed online resources such as e books magazines or journals,accessed-online-resources-such-as-e-books-magazines-or-journals,,121
Used free wi fi computer or printing facilities,used-free-wi-fi-computer-or-printing-facilities,,122
Sought information related to your or someone else s health,sought-information-related-to-your-or-someone-else-s-health,,123
Used the space to study or work,used-the-space-to-study-or-work,,124
Took part in an event for example a reading group film screening or author visit,took-part-in-an-event-for-example-a-reading-group-film-screening-or-author-visit,,125
Took a child to an event,took-a-child-to-an-event,,126
Visited the library cafe or met up with someone,visited-the-library-cafe-or-met-up-with-someone,,127
Did something else,did-something-else,,128
Football,football,,129
Rugby,rugby,,130
Tennis,tennis,,131
Cricket,cricket,,132
Athletics,athletics,,133
Snooker,snooker,,134
Swimming,swimming,,135
Gymnastics,gymnastics,,136
Golf,golf,,137
Some other type of sport,some-other-type-of-sport,,138
All of them,all-of-them,,139
Most of them,most-of-them,,140
Around half of them,around-half-of-them,,141
A few of them,a-few-of-them,,142
None of them,none-of-them,,143
Don t know,don-t-know,,144
Every time,every-time,,145
Most of the time,most-of-the-time,,146
Some of the time,some-of-the-time,,147
Very rarely,very-rarely,,148
Her majesty the queen s platinum jubilee,her-majesty-the-queen-s-platinum-jubilee,,149
Unboxed creativity in the uk,unboxed-creativity-in-the-uk,,150
Birmingham commonwealth games 2022,birmingham-commonwealth-games-2022,,151
Coventry city of culture,coventry-city-of-culture,,152
Attending a national event,attending-a-national-event,,153
Attending a local event,attending-a-local-event,,154
Attending an digital or online event,attending-an-digital-or-online-event,,155
Following coverage on tv or radio includes watching the event and or news about the event,following-coverage-on-tv-or-radio-includes-watching-the-event-and-or-news-about-the-event,,156
Following on social media,following-on-social-media,,157
Taking part in a voluntary capacity,taking-part-in-a-voluntary-capacity,,158
Taking part in a professional capacity,taking-part-in-a-professional-capacity,,159
Taking part in some other way,taking-part-in-some-other-way,,160
I am not interested in participating in this event,i-am-not-interested-in-participating-in-this-event,,161
Attending a national event note 5,attending-a-national-event-note-5,,162
Attending a local event note 5,attending-a-local-event-note-5,,163
