Label,Notation,Parent Notation,Sort Priority
Adults engagement with the arts in the last 12 months by demographics (physical),adults-engagement-with-the-arts-in-the-last-12-months-by-demographics-physical,,0
Adults engagement with the arts in the last 12 months by demographics (digital),adults-engagement-with-the-arts-in-the-last-12-months-by-demographics-digital,,1
Adults engagement with libraries in the last 12 months by demographics (physical),adults-engagement-with-libraries-in-the-last-12-months-by-demographics-physical,,2
Adults engagement with libraries in the last 12 months by demographics (digital),adults-engagement-with-libraries-in-the-last-12-months-by-demographics-digital,,3
Adults engagement with heritage sites in the last 12 months by demographics (physical),adults-engagement-with-heritage-sites-in-the-last-12-months-by-demographics-physical,,4
Adults engagement with heritage sites in the last 12 months by demographics (digital),adults-engagement-with-heritage-sites-in-the-last-12-months-by-demographics-digital,,5
Adults engagement with museums in the last 12 months by demographics (physical),adults-engagement-with-museums-in-the-last-12-months-by-demographics-physical,,6
Adults engagement with live sports in the last 6 months by demographics (physical),adults-engagement-with-live-sports-in-the-last-6-months-by-demographics-physical,,7
Adults engagement with tourism in the last 12 months by demographics (physical),adults-engagement-with-tourism-in-the-last-12-months-by-demographics-physical,,8
Adults engagement with her majesty the queen’s platinum jubilee,adults-engagement-with-her-majesty-the-queen-s-platinum-jubilee,,9
Adults engagement with unboxed,adults-engagement-with-unboxed,,10
Adults engagement with birmingham commonwealth games 2022,adults-engagement-with-birmingham-commonwealth-games-2022,,11
Adults engagement with coventry city of culture,adults-engagement-with-coventry-city-of-culture,,12
Adults use of the internet,adults-use-of-the-internet,,13
How much you know about 5g mobile technology (i hadn't heard of it before now) by demographic,how-much-you-know-about-5g-mobile-technology-i-hadn-t-heard-of-it-before-now-by-demographic,,14
How much you know about 5g mobile technology (i have heard of it but am not sure what it is) by demographic,how-much-you-know-about-5g-mobile-technology-i-have-heard-of-it-but-am-not-sure-what-it-is-by-demographic,,15
How much you know about 5g mobile technology (i understand what it is but am not interested in getting it in the near future) by demographic,how-much-you-know-about-5g-mobile-technology-i-understand-what-it-is-but-am-not-interested-in-getting-it-in-the-near-future-by-demographic,,16
How much you know about 5g mobile technology (i understand what it is and am interested in getting it in the near future) by demographic,how-much-you-know-about-5g-mobile-technology-i-understand-what-it-is-and-am-interested-in-getting-it-in-the-near-future-by-demographic,,17
Adults digital skills demograhics,adults-digital-skills-demograhics,,18
Adults engagement with the arts in the last 12 months (physical),adults-engagement-with-the-arts-in-the-last-12-months-physical,,19
Adults engagement with the arts in the last 12 months (digital),adults-engagement-with-the-arts-in-the-last-12-months-digital,,20
Adults engagement with libraries in the last 12 months (physical),adults-engagement-with-libraries-in-the-last-12-months-physical,,21
Adults engagement with libraries in the last 12 months (digital),adults-engagement-with-libraries-in-the-last-12-months-digital,,22
Adults engagement with heritage sites in the last 12 months (physical),adults-engagement-with-heritage-sites-in-the-last-12-months-physical,,23
Adults engagement with heritage sites in the last 12 months (digital),adults-engagement-with-heritage-sites-in-the-last-12-months-digital,,24
Adults engagement with museums in the last 12 months (physical),adults-engagement-with-museums-in-the-last-12-months-physical,,25
Adults engagement with live sports and gambling in the last 6/12 months (physical),adults-engagement-with-live-sports-and-gambling-in-the-last-6/12-months-physical,,26
Adults engagement with tourism in the last 12 months (physical),adults-engagement-with-tourism-in-the-last-12-months-physical,,27
Adults engagement with major events,adults-engagement-with-major-events,,28
Adults use of the internet (smart devices),adults-use-of-the-internet-smart-devices,,29
Adults knowledge of 5g,adults-knowledge-of-5g,,30
Adults digital skills,adults-digital-skills,,31
Data security,data-security,,32
Digital methods of identification,digital-methods-of-identification,,33
Use of data,use-of-data,,34
Data sharing and viewing content online,data-sharing-and-viewing-content-online,,35
