Period,Area,Mission,Category,Indicator,Observation,Notes
2014,E92000001,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.5,
2015,E92000001,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.28908020535854,
2016,E92000001,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.6,
2017,E92000001,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.31973605129859,
2019,E92000001,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.62171557840027,
2016,E12000001,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.9,
2014,E12000001,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.8,
2019,E12000001,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.06923811625563,
2017,E12000001,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.7187616620386,
2015,E12000001,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,9.0,
2016,E06000047,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,9.5275769075232,
2019,E06000047,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.81956011180234,
2014,E06000047,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,9.37273572673947,
2017,E06000047,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,9.34191425323625,
2015,E06000047,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,9.006178758695,
2016,E06000005,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.80855933541411,
2019,E06000005,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.457621381965,
2014,E06000005,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.88059565131409,
2017,E06000005,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.76552540030412,
2015,E06000005,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.57568712104679,
2016,E06000001,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.67323460783123,
2019,E06000001,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.79080248898321,
2014,E06000001,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.29463509506784,
2017,E06000001,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.47106462335889,
2015,E06000001,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.12151330370947,
2016,E06000002,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,9.22240980185079,
2019,E06000002,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.45781736174403,
2014,E06000002,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.51712877834704,
2017,E06000002,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,9.25674586131634,
2015,E06000002,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.4545269480822,
2016,E06000048,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,10.4450660110689,Obsolete code since 2013 (replaced by E06000057 Northumberland)
2019,E06000048,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,9.84221190186236,Obsolete code since 2013 (replaced by E06000057 Northumberland)
2014,E06000048,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,10.2428906766745,Obsolete code since 2013 (replaced by E06000057 Northumberland)
2017,E06000048,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,9.96268914386778,Obsolete code since 2013 (replaced by E06000057 Northumberland)
2015,E06000048,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,10.5586991495989,Obsolete code since 2013 (replaced by E06000057 Northumberland)
2016,E06000003,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.37748823176116,
2019,E06000003,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.06607451869099,
2014,E06000003,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,9.20809153578696,
2017,E06000003,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.8541590304425,
2015,E06000003,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.33798410644983,
2016,E06000004,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.89678763465484,
2019,E06000004,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,7.81804856856493,
2014,E06000004,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.44714822486858,
2017,E06000004,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.36601078800971,
2015,E06000004,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.22915047509535,
2016,E11000004,Mission 3,"Boosting productivity, pay, jobs and living standards",Drive to employment centre with 500 to 4999 jobs,8.32547809454372,Obsolete code since 2013 (replaced by E11000007 Tyne and Wear)
