Period,Area,Mission,Category,Indicator,Observation,Lower Confidence Interval (95%),Upper Confidence Interval (95%)
2002,K02000001,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,324.8,324.6,325.0
2003,K02000001,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,334.7,334.5,334.9
2004,K02000001,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,345.5,345.4,345.6
2005,K02000001,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,349.1,348.9,349.3
2006,K02000001,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,363.0,362.8,363.2
2007,K02000001,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,376.0,375.8,376.2
2008,K02000001,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,388.8,388.6,389.0
2009,K02000001,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,397.1,396.9,397.3
2010,K02000001,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,403.8,403.6,404.0
2011,K02000001,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,400.0,399.8,400.2
2012,K02000001,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,405.8,405.6,406.0
2013,K02000001,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,415.3,415.1,415.5
2014,K02000001,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,417.9,417.799999999999,418.0
2015,K02000001,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,425.1,424.9,425.3
2016,K02000001,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,438.4,438.2,438.599999999999
2017,K02000001,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,448.5,448.3,448.7
2018,K02000001,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,460.0,459.9,460.1
2019,K02000001,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,479.1,479.0,479.2
2020,K02000001,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,479.1,479.0,479.2
2021,K02000001,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,505.1,504.9,505.3
2022,K02000001,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,532.5,532.3,532.7
2002,K03000001,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,326.3,326.2,326.4
2003,K03000001,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,337.3,337.1,337.5
2004,K03000001,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,347.7,347.5,347.9
2005,K03000001,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,352.4,352.2,352.599999999999
2006,K03000001,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,364.8,364.6,365.0
2007,K03000001,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,378.1,377.9,378.3
2008,K03000001,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,391.4,391.2,391.599999999999
2009,K03000001,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,399.6,399.4,399.8
2010,K03000001,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,406.5,406.3,406.7
2011,K03000001,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,402.5,402.4,402.6
2012,K03000001,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,408.2,408.0,408.4
2013,K03000001,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,417.6,417.4,417.8
2014,K03000001,Mission 1: closing the gap in median employment and productivity.,"Boosting productivity, pay, jobs and living standards",Gross median weekly pay,420.0,419.8,420.2
