Period,Area,Mission,Category,Indicator,Observation
government-year/2011-2012,E92000001,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,1732970.0
government-year/2012-2013,E92000001,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,1921820.0
government-year/2013-2014,E92000001,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,1750600.0
government-year/2014-2015,E92000001,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,1497100.0
government-year/2015-2016,E92000001,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,1237950.0
government-year/2016-2017,E92000001,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,1172980.0
government-year/2017-2018,E92000001,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,1199560.0
government-year/2018-2019,E92000001,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,1101420.0
government-year/2019-2020,E92000001,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,868930.0
government-year/2020-2021,E92000001,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,860020.0
government-year/2018-2019,E06000047,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,17690.0
government-year/2019-2020,E06000047,mission-6-increasing-high-quality-skills-training-in-every-area-in-the-uk,spreading-opportunity-and-improving-public-services,aged-19-years-and-over-further-education-and-skills-learner-achievements,13360.0
