Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
1997,1997,1997,,0,
1998,1998,1998,,1,
1999,1999,1999,,2,
2000,2000,2000,,3,
2001,2001,2001,,4,
2002,2002,2002,,5,
2003,2003,2003,,6,
2004,2004,2004,,7,
2005,2005,2005,,8,
2006,2006,2006,,9,
2007,2007,2007,,10,
2008,2008,2008,,11,
2009,2009,2009,,12,
2010,2010,2010,,13,
2011,2011,2011,,14,
2012,2012,2012,,15,
2013,2013,2013,,16,
2014,2014,2014,,17,
2015,2015,2015,,18,
2016,2016,2016,,19,
2017,2017,2017,,20,
2018,2018,2018,,21,
2019,2019,2019,,22,
2020,2020,2020,,23,
