Period,Area,Measure,Category,Unit,Value,MAD,Marker
2020,E06000001,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,31.85,-0.368235496,
2020,E06000002,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,30.96,-0.530477868,
2020,E06000003,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,28.14,-1.044549203,
2020,E06000004,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,38.36,0.818503651,
2020,E06000005,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,31.87,-0.3645896,
2020,E06000006,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,40.56,1.219552211,
2020,E06000007,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,34.42,0.10026214,
2020,E06000008,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,28.71,-0.940641167,
2020,E06000009,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,28.59,-0.962516543,
2020,E06000010,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,30.24,-0.661730123,
2020,E06000011,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,33.69,-0.032813064,
2020,E06000012,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,29.22,-0.847670819,
2020,E06000013,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,35.3,0.260681564,
2020,E06000014,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,35.73,0.339068328,
2020,E06000015,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,33.51,-0.065626128,
2020,E06000016,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,33.97,0.01822948,
2020,E06000017,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,30.35,-0.641677696,
2020,E06000018,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,32.77,-0.20052428,
2020,E06000019,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,25.7,-1.489348515,
2020,E06000020,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,32.11,-0.320838848,
2020,E06000021,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,31.25,-0.477612376,
2020,E06000022,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,28.76,-0.931526427,
2020,E06000023,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,33.6,-0.049219596,
2020,E06000024,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,31.35,-0.459382896,
2020,E06000025,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,49.04,2.765412114,
2020,E06000026,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,31.25,-0.477612376,
2020,E06000027,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,26.09,-1.418253543,
2020,E06000030,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,50.77,3.080782118,
2020,E06000031,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,35.66,0.326307692,
2020,E06000032,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,35.96,0.380996132,
2020,E06000033,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,27.2,-1.215906315,
2020,E06000034,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,37.85,0.725533303,
2020,E06000035,gross-value-added-per-hour-worked,boosting-productivity-pay-jobs-and-living-standards-by-growing-the-private-sector,ps,38.59,0.860431455,
