Period,Area,Indicator,Category,Measure Type,Unit,Value,MAD,Marker
2020,E06000001,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,31.85,-0.368235496,
2020,E06000002,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,30.96,-0.530477868,
2020,E06000003,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,28.14,-1.044549203,
2020,E06000004,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,38.36,0.818503651,
2020,E06000005,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,31.87,-0.3645896,
2020,E06000006,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,40.56,1.219552211,
2020,E06000007,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,34.42,0.10026214,
2020,E06000008,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,28.71,-0.940641167,
2020,E06000009,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,28.59,-0.962516543,
2020,E06000010,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,30.24,-0.661730123,
2020,E06000011,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,33.69,-0.032813064,
2020,E06000012,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,29.22,-0.847670819,
2020,E06000013,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,35.3,0.260681564,
2020,E06000014,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,35.73,0.339068328,
2020,E06000015,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,33.51,-0.065626128,
2020,E06000016,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,33.97,0.01822948,
2020,E06000017,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,30.35,-0.641677696,
2020,E06000018,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,32.77,-0.20052428,
2020,E06000019,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,25.7,-1.489348515,
2020,E06000020,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,32.11,-0.320838848,
2020,E06000021,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,31.25,-0.477612376,
2020,E06000022,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,28.76,-0.931526427,
2020,E06000023,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,33.6,-0.049219596,
2020,E06000024,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,31.35,-0.459382896,
2020,E06000025,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,49.04,2.765412114,
2020,E06000026,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,31.25,-0.477612376,
2020,E06000027,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,26.09,-1.418253543,
2020,E06000030,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,50.77,3.080782118,
2020,E06000031,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,35.66,0.326307692,
2020,E06000032,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,35.96,0.380996132,
2020,E06000033,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,27.2,-1.215906315,
2020,E06000034,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,37.85,0.725533303,
2020,E06000035,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,38.59,0.860431455,
2020,E06000036,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,48.27,2.625045118,
2020,E06000037,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,48.38,2.645097546,
2020,E06000038,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,43.68,1.788311987,
2020,E06000039,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,60.34,4.825343352,
2020,E06000040,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,53.16,3.516466689,
2020,E06000041,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,56.38,4.103455945,
2020,E06000042,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,45.95,2.202121182,
2020,E06000043,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,37.92,0.738293939,
2020,E06000044,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,36.91,0.554176192,
2020,E06000045,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,40.04,1.124758915,
2020,E06000046,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,31.86,-0.366412548,
2020,E06000047,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,30.5,-0.614333476,
2020,E06000049,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,43.56,1.766436611,
2020,E06000050,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,39.14,0.960693595,
2020,E06000051,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,28.36,-1.004444347,
2020,E06000052,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,28.83,-0.918765791,
2020,E06000053,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,42.42,1.558620539,
2020,E06000054,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,31.54,-0.424746884,
2020,E06000055,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,31.74,-0.388287924,
2020,E06000056,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,34.02,0.02734422,
2020,E06000057,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,29.07,-0.875015039,
2020,E06000058,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,34.13,0.047396648,
2020,E06000059,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,31.9,-0.359120756,
2020,E06000060,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,37.9,0.734648043,
2020,E06000061,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,27.84,-1.099237643,
2020,E06000062,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,33.87,0.0,
2020,E07000008,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,34.82,0.17318006,
2020,E07000009,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,33.09,-0.142189944,
2020,E07000010,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,27.68,-1.128404811,
2020,E07000011,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,36.21,0.426569832,
2020,E07000012,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,36.64,0.504956596,
2020,E07000026,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,27.34,-1.190385043,
2020,E07000027,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,40.79,1.261480015,
2020,E07000028,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,31.56,-0.421100988,
2020,E07000029,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,26.96,-1.259657067,
2020,E07000030,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,30.67,-0.58334336,
2020,E07000031,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,29.04,-0.880483883,
2020,E07000032,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,34.24,0.067449076,
2020,E07000033,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,42.03,1.487525567,
2020,E07000034,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,30.25,-0.659907175,
2020,E07000035,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,25.33,-1.556797591,
2020,E07000036,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,27.13,-1.228666951,
2020,E07000037,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,26.15,-1.407315855,
2020,E07000038,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,31.41,-0.448445208,
2020,E07000039,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,58.74,4.533671672,
2020,E07000040,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,33.61,-0.047396648,
2020,E07000041,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,36.25,0.433861624,
2020,E07000042,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,28.44,-0.989860763,
2020,E07000043,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,30.09,-0.689074343,
2020,E07000044,Gross Value Added per hour worked,"Boosting productivity, pay, jobs and living standards by growing the private sector",Pounds,£,30.78,-0.563290932,
